85 2190
value,weight
48,29
89,40
88,37
43,84
1,87
30,7
52,28
15,19
49,60
95,94
28,91
16,16
23,14
12,28
2,49
18,62
24,63
71,62
48,36
20,84
89,22
72,15
51,36
82,57
91,48
11,57
19,82
100,73
86,36
91,69
19,40
38,18
51,91
63,63
18,62
45,80
32,76
87,18
49,67
81,67
28,89
76,55
3,74
16,46
15,55
60,50
59,70
25,73
25,57
11,88
79,33
26,86
80,50
78,39
78,56
24,26
21,21
40,82
46,3
88,3
36,47
37,26
5,17
95,78
20,75
40,56
5,100
59,46
84,37
59,99
90,80
54,91
71,14
43,22
84,4
90,59
80,39
46,29
39,60
94,53
30,87
90,10
7,21
46,75
91,33
